id,prompt,instruction_id_list,kwargs
1107,Write two jokes about rockets. Do not contain commas in your response. Separate the two jokes with 6 asterisk symbols: ******.,"['punctuation:no_comma', 'combination:two_responses']","[{}, {}]"
1108,"Are hamburgers sandwiches? Please respond using only the Kannada language, no other language is allowed.",['language:response_language'],[{'language': 'kn'}]
1122,"make a tweet for playboy's twitter account without using capital letters. Include at least 4 hashtags, starting with '#'","['change_case:english_lowercase', 'keywords:letter_frequency']","[{}, {'let_relation': 'at least', 'letter': '#', 'let_frequency': 4}]"
1127,"Write a poem about how I am missing my classes. The poem must have 4 sections marked with SECTION X. Finish the poem with this exact phrase: ""Can I get my money back for the classes I missed?""","['detectable_format:multiple_sections', 'startend:end_checker']","[{'section_spliter': 'SECTION', 'num_sections': 4}, {'end_phrase': 'Can I get my money back for the classes I missed?'}]"
1128,"Given the sentence ""It is unclear how much of this money is actually being spent on children"", is the sentiment positive or negative? The very last sentence of your response should be ""Is there anything else I can help with?"".",['startend:end_checker'],[{'end_phrase': 'Is there anything else I can help with?'}]
1129,"Write a short startup pitch for a new kind of ice cream called ""Sunnis ice cream"". The ice cream should be gentle on the stomach. Contain 6 or more exclamation marks ""!"" in your response.
First repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)","['keywords:letter_frequency', 'combination:repeat_prompt']","[{'let_relation': 'at least', 'letter': '!', 'let_frequency': 6}, {'prompt_to_repeat': 'Write a short startup pitch for a new kind of ice cream called ""Sunnis ice cream"". The ice cream should be gentle on the stomach. Contain 6 or more exclamation marks ""!"" in your response.'}]"
1130,"Write a logic quiz for teenagers about a chesterfield. In your entire response, the letter t should appear at most once.",['keywords:letter_frequency'],"[{'let_relation': 'less than', 'letter': 't', 'let_frequency': 2}]"
1131,Write a 4 section resume for professional clown Phil Larkin. Each section should be explicitly noted as Section X.,['detectable_format:multiple_sections'],"[{'section_spliter': 'Section', 'num_sections': 4}]"
1132,"Write the lyrics to a hit song by the rock band 'The Gifted and The Not Gifted'. To make it rocky, the response should be in all capital letters. The word ""rock"" should not appear in your response.","['change_case:english_capital', 'keywords:forbidden_words']","[{}, {'forbidden_words': ['rock']}]"
1137,"Explain in French why it is important to eat healthy foods to heal the body, without using the word ""nourriture"". Make sure your entire response is wrapped in JSON format.","['detectable_format:json_format', 'keywords:forbidden_words']","[{}, {'forbidden_words': ['nourriture']}]"
1139,"Write a funny haiku about moms, containing keywords ""mom"" and ""mother"" in your response.
First repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)","['combination:repeat_prompt', 'keywords:existence']","[{'prompt_to_repeat': 'Write a funny haiku about moms, containing keywords ""mom"" and ""mother"" in your response.'}, {'keywords': ['mom', 'mother']}]"
1147,"Rewrite the following statement to make it sound more formal, like a President of the United States:
""Hi guys. The work was done to add in a fix for the issue that was observed in the field with the SSO. We are working with our collaborators closely. We will get it done. Thanks ya all.""
Do not include the following keywords: field, thanks, issue, collaborator.",['keywords:forbidden_words'],"[{'forbidden_words': ['field', 'thanks', 'issue', 'collaborator']}]"
1148,What are the advantages and disadvantages of having supernatural powers? Make it short. Wrap the entire output in JSON format. You can use markdown ticks such as ```.,['detectable_format:json_format'],[{}]
1153,Write a social media post for students of Islamic history about the hajj pilgrimage. Use all lowercase letters and include the word story at least twice.,"['change_case:english_lowercase', 'keywords:frequency']","[{}, {'relation': 'at least', 'keyword': 'story', 'frequency': 2}]"
1154,"Write a rubric for how to evaluate the technical skills of a software engineer only using the Punjabi language, no other language is allowed.",['language:response_language'],[{'language': 'pa'}]
1162,Write a riddle for kids about auspices but make sure you don't use any commas.,['punctuation:no_comma'],[{}]
1174,"Write a template for a chat bot that takes a user's location and gives them the weather forecast. Use the letter o as a keyword in the syntax of the template. The letter o should appear at least 6 times.. Your response should contain fewer than 6 sentences. Highlight at least 2 text sections, i.e. *highlighted section*.","['keywords:letter_frequency', 'length_constraints:number_sentences', 'detectable_format:number_highlighted_sections']","[{'let_relation': 'less than', 'letter': 'o', 'let_frequency': 6}, {'relation': 'less than', 'num_sentences': 6}, {'num_highlights': 2}]"
1180,"Explain why people are grossed out by worms but not by eating a dead cow. Give exactly two different responses separated by 6 asterisk symbols ******. Your answer must contain a title, wrapped in double angular brackets, i.e. <<title>>.","['combination:two_responses', 'detectable_format:title']","[{}, {}]"
1187,"Can you give me two different formal alternatives to ""What's up? I'm going to the beach today"" and do not use any commas in your response.",['punctuation:no_comma'],[{}]
1203,"What happened when the Tang dynasty of China was in power? Make sure to use the word war at least 8 times, and the word peace at least 10 times.","['keywords:frequency', 'keywords:frequency']","[{'relation': 'at least', 'keyword': 'war', 'frequency': 8}, {'relation': 'at least', 'keyword': 'peace', 'frequency': 10}]"
1216,What sentiments existed in the Croatian and Serbian nations towards the Austrian Empire at the end of the 19th century? Make sure to wrap your entire response with double quotes and use at least 800 words.,"['startend:quotation', 'length_constraints:number_words']","[{}, {'relation': 'at least', 'num_words': 800}]"
1217,"Write an ad copy for a new product, a digital photo frame that connects to your social media accounts and displays your photos. Respond with at most 150 words.",['length_constraints:number_words'],"[{'relation': 'less than', 'num_words': 151}]"
1219,"Which one is a better brand for sneakers: Prada or Nike? Your entire response should be in English, and in all capital letters. At the end of your response, please explicitly add a postscript starting with P.S. The word sneaker should appear 10 or more times in your response.","['change_case:english_capital', 'detectable_content:postscript', 'keywords:frequency']","[{}, {'postscript_marker': 'P.S.'}, {'relation': 'at least', 'keyword': 'sneaker', 'frequency': 10}]"
122,Write a blog post about the history of the internet and how it has impacted our lives. Aim the blog post at teenagers and wrap your entire response with double quotation marks.,['startend:quotation'],[{}]
1220,"Write a poem about two people who meet in a coffee shop and end your entire response with the exact phrase ""Is there anything else I can help with?""",['startend:end_checker'],[{'end_phrase': 'Is there anything else I can help with?'}]
1233,"How many feet off the ground was the tallest skyscraper in the world in 2000? Please include only the main points in your answer. Finish your response with the exact phrase of ""Is there anything else I can help with?"" with no other words after the word ""with"". Mention the word ""skyscraper"" for at least 8 times.","['startend:end_checker', 'keywords:frequency']","[{'end_phrase': 'Is there anything else I can help with?'}, {'relation': 'at least', 'keyword': 'skyscraper', 'frequency': 8}]"
1236,Write an advertisement for a new line of comfortable armchairs designed to withstand the scrutiny of any interior designer. There should be exactly 3 paragraphs separated by the markdown divider: ***.,['length_constraints:number_paragraphs'],[{'num_paragraphs': 3}]
1237,"Write a funny post for teenagers about a restaurant called ""Buena Onda"" which serves Argentinian food. Highlight at least three sections of your response in markdown such as *highlighted section*. Mention ""Argentinian"" in the post.","['detectable_format:number_highlighted_sections', 'keywords:existence']","[{'num_highlights': 3}, {'keywords': ['Argentinian']}]"
1242,"Can you give me a nickname for Stafford? Please use JSON format and do not say the word ""nickname"" in the response. Do not add anything outside of the JSON block.","['detectable_format:json_format', 'keywords:forbidden_words']","[{}, {'forbidden_words': ['nickname']}]"
1246,Write me a template for a product description in the form of a poem and end it with a post script starting with P.P.S,['detectable_content:postscript'],[{'postscript_marker': 'P.P.S'}]
1248,"""The man was arrested for stealing a car. He was later released on bail."" Expand on it angrily in a rap style, and make sure there are exactly 4 sections. Separated the sections by the markdown divider: ***",['length_constraints:number_paragraphs'],[{'num_paragraphs': 4}]
1251,Write a poem that's at least 350 words about the beauty of eucalyptus trees and their many uses.,['length_constraints:number_words'],"[{'relation': 'at least', 'num_words': 350}]"
1258,I have a dime. What can I do with this dime? Give me advice in the style of a President of the United States and make sure it has at least 600 words.,['length_constraints:number_words'],"[{'relation': 'at least', 'num_words': 600}]"
1259,"Write a haiku about rushing to work using only the Marathi language, no other language is allowed.",['language:response_language'],[{'language': 'mr'}]
1262,"Can you elaborate on the following text: ""Increased axle weight increased the damage to the road""? Your response must contain a title wrapped in double angular brackets, i.e. <<title>>. Use less than 5 sentences.","['detectable_format:title', 'length_constraints:number_sentences']","[{}, {'relation': 'less than', 'num_sentences': 5}]"
1265,"Write an essay about how aluminium cans are used in food storage. Don’t forget to include the keywords waste, material and meal. Have more than 30 sentences in your response.","['keywords:existence', 'length_constraints:number_sentences']","[{'keywords': ['waste', 'material', 'meal']}, {'relation': 'at least', 'num_sentences': 31}]"
1268,Can you give me an example for a journal entry about stress management? Tell me how you come up with the example. Your entire response should contain less than 6 sentences.,['length_constraints:number_sentences'],"[{'relation': 'less than', 'num_sentences': 6}]"
127,"Take the text below as a starting point, and make it a complete article: ""You may have to meet with a helper to work out a parenting plan. The first would be to estimate how many time you have everyday for parenting, and is that enough....""
Avoid using the following keywords: sleep, cook, feed
Mention the keyword 'schedule' for more than 5 times.","['keywords:forbidden_words', 'keywords:frequency']","[{'forbidden_words': ['sleep', 'cook', 'feed']}, {'relation': 'at least', 'keyword': 'schedule', 'frequency': 6}]"
1281,"Write a limerick about Hannah, a college student, doing an internship at a coffee company. Make sure that her father would love the limerick. Include the words ""intern"" and ""grow"".
First repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)","['combination:repeat_prompt', 'keywords:existence']","[{'prompt_to_repeat': 'Write a limerick about Hannah, a college student, doing an internship at a coffee company. Make sure that her father would love the limerick. Include the words ""intern"" and ""grow"".'}, {'keywords': ['intern', 'grow']}]"
1286,"What is the difference between the 13 colonies and the other British colonies in North America? Your answer must contain exactly 6 bullet point in Markdown using the following format:
* Bullet point one.
* Bullet point two.
...
* Bullet point fix.",['detectable_format:number_bullet_lists'],[{'num_bullets': 6}]
1287,"How did a man named John of Brienne become the King of Jerusalem? Explain in a Zen-like style. Your answer should use all lowercase letters and must also contain exactly 3 bullet points in markdown format. Use * to indicate bullets, like:
* xyz
* abc
* opq","['detectable_format:number_bullet_lists', 'change_case:english_lowercase']","[{'num_bullets': 3}, {}]"
13,"What is the history of NYC prospect park? Please wrap your entire answer in JSON format. You can use markdown ticks such as ```. For example:
```JSON
{
...
}
```",['detectable_format:json_format'],[{}]
1300,"Write a short proposal for a new research project that investigates how language evolves over time. I want to make it challenging, so:
1. Do not include any commas in your response.
2. Do not include the letter ""c"" anywhere in your response.
3. Your response should contain at least 250 words.","['punctuation:no_comma', 'keywords:letter_frequency', 'length_constraints:number_words']","[{}, {'let_relation': 'less than', 'letter': 'c', 'let_frequency': 1}, {'relation': 'at least', 'num_words': 250}]"
1305,"List exactly 10 possible names for a new baby boy. Then add a postscript starting with P.P.S to the end of your response. Put the names into bullet points that are indicated by:
* This is an example bullet","['detectable_content:postscript', 'detectable_format:number_bullet_lists']","[{'postscript_marker': 'P.P.S'}, {'num_bullets': 10}]"
1307,"Write an outline for a paper on the history of Yemeni coffee. The outline should include the main points of the paper, and at least 15 sections should be highlighted with markdown such as *highlighted section*.",['detectable_format:number_highlighted_sections'],[{'num_highlights': 15}]
1314,"Which of the following is not a fish: salmon or avocado? Answer this easy question first, then expand into an interesting article about salmon and avocado. Use some words in all caps in your response, but those all-caps words should appear at most 10 times.","['change_case:capital_word_frequency', 'change_case:capital_word_frequency']","[{'capital_relation': 'less than', 'capital_frequency': 11}, {'capital_relation': 'at least', 'capital_frequency': 1}]"
1322,"What are the pros and cons of kotlin vs java? Your answer must have a title contained in double angular brackets, such as <<kotlin vs java>>.",['detectable_format:title'],[{}]
1325,"Write a funny article about why the dinosaurs went extinct and put double quotations marks around your whole response. Include exactly 8 bullet points in your response. The bullet points should be in the form of:
* This is bullet 1
* This is bullet 2
...","['startend:quotation', 'detectable_format:number_bullet_lists']","[{}, {'num_bullets': 8}]"
1332,"Create a table with a 7 day trip itinerary for India, and a 7 day trip itinerary for China. Separate them with exactly 6 asterisks symbols: *******",['combination:two_responses'],[{}]
1342,"I would like to start my own business. Can you give me some general advice? Please avoid mentioning ""photography"" - I have no interest in that market. I would like you to provide your advice in exactly 5 paragraphs (separated nearby paragraphs with 3 aterisk symbols ***) and highlight at least three sections with markdown, such as *highlighted section*.","['keywords:frequency', 'detectable_format:number_highlighted_sections', 'length_constraints:number_paragraphs']","[{'relation': 'less than', 'keyword': 'photography', 'frequency': 1}, {'num_highlights': 3}, {'num_paragraphs': 5}]"
1348,"Write a brief biography of a person named ""Brilliant Le Hou"". Do not use commas in your reply. Highlight at least 3 sections with markdown, i.e. *highlighted section*. The biography should start with the name of the person.","['punctuation:no_comma', 'detectable_format:number_highlighted_sections', 'keywords:existence']","[{}, {'num_highlights': 3}, {'keywords': ['brilliant', 'le', 'hou']}]"
136,"A nucleus is a cluster of protons and neutrons. Elaborate on this. Write exactly 9 very short bullet points. Limit the number of words you use (less than 100 words). An example:
* A nucleus is a cluster of protons and neutrons
* A proton is ....

Please follow the format of the example above.","['detectable_format:number_bullet_lists', 'length_constraints:number_words']","[{'num_bullets': 9}, {'relation': 'less than', 'num_words': 100}]"
1361,Compose song lyrics about a socio-economic problem. The song should be in English and in all lowercase letters.,['change_case:english_lowercase'],[{}]
1367,Write an extravagant session plan to learn about java. Make sure to include a postscript starting with P.P.S,['detectable_content:postscript'],[{'postscript_marker': 'P.P.S'}]
1372,"Draft a blog post about Ripley's Aquarium. Make sure your blog post contains at least 7 placeholders represented by square brackets, such as [location].",['detectable_content:number_placeholders'],[{'num_placeholders': 7}]
1375,"Improper use of the Java API can lead to vulnerabilities in web applications. Write a code snippet to demonstrate this. Then demonstrate how to fix the code. Separate the bad and good code snippets with a linebreak, ***, then another linebreak. Example:

[code snippet 1]
***
[code snippet 2]

Add code comments in the code snippets. One of the comments should contain the keyword ""vulnerable"".","['length_constraints:number_paragraphs', 'keywords:existence']","[{'num_paragraphs': 2}, {'keywords': ['vulnerable']}]"
1377,"Write a planning doc for a software engineer task. Follow the exact format below:

Part 1. Task Summary
[put details here]
***
Part 2. Motivation
[put details here]
***
Part 3. Milestone objectives
[put details here]
***
Part 4. Timeline
[put details here]
***
Part 5. Doc history
[put details here]",['length_constraints:number_paragraphs'],[{'num_paragraphs': 5}]
1379,"Write a limerick about a woman named Sarah who lives in a town where it's always 90°F. Highlight at least 6 sections in your answer with markdown, example: *highlighted section*. Mention the name Sarah only once.","['detectable_format:number_highlighted_sections', 'keywords:frequency', 'keywords:existence']","[{'num_highlights': 6}, {'relation': 'less than', 'keyword': 'sarah', 'frequency': 2}, {'keywords': ['sarah']}]"
1381,Write me a funny song with less than 10 sentences for a proposal to build a new playground at my local elementary school.,['length_constraints:number_sentences'],"[{'relation': 'less than', 'num_sentences': 10}]"
1389,"Write a letter to your friend who recently moved away. Your entire response should be in English, and in all capital letters. The letter o should appear at least 40 times.","['change_case:english_capital', 'keywords:letter_frequency']","[{}, {'let_relation': 'at least', 'letter': 'o', 'let_frequency': 40}]"
1392,"Write a blog post about the latest news in the US with a title in double angular brackets, i.e. <<title>>, and have less than 5 sentences (excluding 5). The sentences should be long, so that the total number of words in your response should be 250 or more.","['detectable_format:title', 'length_constraints:number_sentences', 'length_constraints:number_words']","[{}, {'relation': 'less than', 'num_sentences': 5}, {'relation': 'at least', 'num_words': 250}]"
1393,List the pros and cons of using two different names for the same thing. Make sure the word synonyms appears at least 3 time.,['keywords:frequency'],"[{'relation': 'at least', 'keyword': 'synonyms', 'frequency': 3}]"
1402,"I'm interested in a college with open enrollment and a regional accreditation. Which college would you recommend? Don't include the keywords ""DuPage"" and ""Dade"" in your response. Let's make it a constrained writing problem: be sure the letter p appears at least 15 times in your response.","['keywords:letter_frequency', 'keywords:forbidden_words']","[{'let_relation': 'at least', 'letter': 'p', 'let_frequency': 15}, {'forbidden_words': ['dupage', 'dade']}]"
1418,Write a 30-line poem with short sentences without any comma. Each line should contain exactly one sentence. Make sure that you put the right punctuation at the end of each line. Your entire response should contain the poem only.,"['punctuation:no_comma', 'length_constraints:number_sentences', 'length_constraints:number_sentences']","[{}, {'relation': 'less than', 'num_sentences': 31}, {'relation': 'at least', 'num_sentences': 30}]"
142,"Write a joke about morphology that's professional and includes the word ""cat"" at least once, and the word ""knock"" at least twice. Wrap your whole response with double quotation marks.","['startend:quotation', 'keywords:frequency', 'keywords:existence']","[{}, {'relation': 'at least', 'keyword': 'knock', 'frequency': 2}, {'keywords': ['cat']}]"
143,"A colt is 5 feet tall. It will grow 6 inches every month. How tall will it be in 3 years? Think step-by-step, then give your answer. Separate your thinking and the final answer by a line with just three ""*"" symbols: ***
At the end of your response, please explicitly add a postscript starting with P.P.S","['length_constraints:number_paragraphs', 'detectable_content:postscript']","[{'num_paragraphs': 2}, {'postscript_marker': 'P.P.S'}]"
1436,"Write a story about commandos who are in the middle of the night in a sector. It should be in English, and no capital letters are allowed. The story should not include keywords ""coop"", ""killings"", ""dead"", ""night"".","['change_case:english_lowercase', 'keywords:forbidden_words']","[{}, {'forbidden_words': ['coop', 'killings', 'dead', 'night']}]"
1446,"Write an article about the reality of disability. Your article must end with the exact phrase ""Is there anything else I can help with?"". No other words should follow this phrase.",['startend:end_checker'],[{'end_phrase': 'Is there anything else I can help with?'}]
1466,"Write a song that critiques the song ""We Are Never Ever Getting Back Together"" by Taylor Swift. Wrap your entire response with double quotation marks. Do not mention the word Taylor, Swift, or Together.","['startend:quotation', 'keywords:forbidden_words']","[{}, {'forbidden_words': ['taylor', 'swift', 'together']}]"
1476,"Can you rewrite ""Cognitive Services on Azure will be renamed to Azure Applied AI Services"" in an engaging tone, without using the word ""rename"" or ""name""? Keep it under 3 sentences (just 1 or 2 sentences, not 3).","['keywords:forbidden_words', 'length_constraints:number_sentences']","[{'forbidden_words': ['name', 'rename']}, {'relation': 'less than', 'num_sentences': 3}]"
1477,"Write a weird poem about yoda being transported into a different universe in the Persian language, no other language is allowed.",['language:response_language'],[{'language': 'fa'}]
1480,"Write a blog post about the most interesting things you have seen or ridden on public transportation.
First repeat the sentence above word for word without change, then give your answer. Do not say any words or characters before repeating the sentence.",['combination:repeat_prompt'],[{'prompt_to_repeat': 'Write a blog post about the most interesting things you have seen or ridden on public transportation.'}]
1481,"Write a casual, interesting, and weird resume for Antonia Maj who is applying for a job at a coffee company. They have experience in marketing, customer service, and sales. They are educated but not majored in anything related to coffee.
Make sure to include at least two sections marking the beginning of each section with 'SECTION X'. In your entire response make sure to use exactly two bullet points in markdown format. Please use the following bullet point format:
* Text for bullet 1
* Text for bullet 2","['detectable_format:multiple_sections', 'detectable_format:number_bullet_lists']","[{'section_spliter': 'SECTION', 'num_sections': 2}, {'num_bullets': 2}]"
1498,Write a song about tomatoes and brothers. It should be funny and appropriate for teenagers. The word associations should appear at least 4 times in the song.,['keywords:frequency'],"[{'relation': 'at least', 'keyword': 'associations', 'frequency': 4}]"
1508,"Write a haiku about a lion that includes the keywords ""forests"" and ""riddle"". Refrain from using commas in your haiku.","['keywords:existence', 'punctuation:no_comma']","[{'keywords': ['forests', 'riddle']}, {}]"
1512,"Generate a forum thread about several people waiting to hear the latest local news. All sentences should be short. Refrain from using any commas. Use placeholders to represent different usernames. Use square brackets for placeholders, like [username1], [username2]. Please include at least 20 placeholders in the thread.","['detectable_content:number_placeholders', 'punctuation:no_comma']","[{'num_placeholders': 20}, {}]"
1516,"Write a five line poem about the time you had a binge watching episode. The poem should have a rhyme scheme of AABBA and include the word ""Netflix"". Your entire response should be in English, and should not contain any capital letters.","['change_case:english_lowercase', 'keywords:existence']","[{}, {'keywords': ['netflix']}]"
1518,"I am a software engineer with 7 years of experience, and I am looking for a new job. Can you create a resume for me and explain each section?

First repeat the exact request above, then give your answer. Do not say any word before repeating the exact request.",['combination:repeat_prompt'],"[{'prompt_to_repeat': 'I am a software engineer with 7 years of experience, and I am looking for a new job. Can you create a resume for me and explain each section?'}]"
152,Write an essay of at least 900 words on the topic of navigable freeway. Make sure the entire response is in English and no capital letters are used.,"['change_case:english_lowercase', 'length_constraints:number_words']","[{}, {'relation': 'at least', 'num_words': 900}]"
1531,"Come up with a proposal for a new research project on how to improve the quality of life for people with disabilities. Your response should be able to be rendered as HTML, and should include the keywords 'atlantis' and 'constable'.",['keywords:existence'],"[{'keywords': ['atlantis', 'constable']}]"
1535,"Write a cover letter for a job application as a tour guide in Beijing in all lowercase letters, with no capitalizations. Make it short -- the entire output should have less than 5 sentences.","['change_case:english_lowercase', 'length_constraints:number_sentences']","[{}, {'relation': 'less than', 'num_sentences': 5}]"
1537,Could you tell me what kind of balls are used in tennis? I would like the answer in the form of a medieval style poem with a P.P.S at the end.,['detectable_content:postscript'],[{'postscript_marker': 'P.P.S'}]
1546,"In this task, repeat the exact request below first, then give your response. Do not say any word before repeating the exact request.

Write an acoustic song about the Korean peninsula without using any commas.","['combination:repeat_prompt', 'punctuation:no_comma']","[{'prompt_to_repeat': 'Write an acoustic song about the Korean peninsula without using any commas.'}, {}]"
1548,"Write a file for a queer-owned business called ""The Rainbow Cafe"". Your file should have 4 sections, and each section should start with ""SECTION X"".",['detectable_format:multiple_sections'],"[{'section_spliter': 'SECTION', 'num_sections': 4}]"
1551,"I want to apply for a job as a software engineer at Google. Can you write me two different cover letters -- a concise version and a long version? Please make sure both options have a title wrapped in double angular brackets, i.e. <<title>>.",['detectable_format:title'],[{}]
1561,"Name a new fashion company that young people might like, and give it a name with multiple meanings. Put the name in double angular brackets, such as <<name>>.

Let's repeat the request above first, before you say anything or really respond to the request.","['combination:repeat_prompt', 'detectable_format:title']","[{'prompt_to_repeat': 'Name a new fashion company that young people might like, and give it a name with multiple meanings. Put the name in double angular brackets, such as <<name>>.'}, {}]"
1566,"Write a song about regrets in the style of Taylor Swift. Please include explanations for the lyrics you write. Make sure your entire response is in English, and in all capital letters.",['change_case:english_capital'],[{}]
1571,"Compose a poem that has the word ""land"" and ""river"". It should be about nature and love. Also, the word ""forest"" should appear at least 3 times, and be written in English, with all letters lowercased.","['keywords:frequency', 'change_case:english_lowercase', 'keywords:existence']","[{'relation': 'at least', 'keyword': 'forest', 'frequency': 3}, {}, {'keywords': ['land', 'river']}]"
1580,Write a story for kids about how a person learns to ride a bike. Do not include 'can' and 'ride' in your response.,['keywords:forbidden_words'],"[{'forbidden_words': ['can', 'ride']}]"
1582,"Criticize this sentence in a funny way: ""Nhiệm vụ của mẹ là nuôi dạy con cái.""

Provide exactly two critiques separated by ******. Each response should be entirely in Vietnamese, no other language is allowed, and should not contain commas.","['combination:two_responses', 'language:response_language', 'punctuation:no_comma']","[{}, {'language': 'vi'}, {}]"
1591,Write two limericks for moms about how hard it is to get their kids to do chores. Be angry about it. Separate your two limericks with six asterisks (******).,['combination:two_responses'],[{}]
1592,"Summarize the following paragraph. Use words in all capital letters at least 3 times to highlight key points.

How to get to 100% renewable energy in the US? Two researchers from Stanford University and the University of California, Berkeley studied the potential for solar and wind energy to power the US grid. They concluded that it is possible to get to 100% renewable energy by 2050 by building more solar and wind farms. The authors also pointed out that such a system would be less vulnerable to disruptions than the current grid, which is reliant on a few large power plants. The authors' plan would also create jobs and reduce pollution.",['change_case:capital_word_frequency'],"[{'capital_relation': 'at least', 'capital_frequency': 3}]"
1593,Compose a poem all in lowercase letters about my friend Barnet.,['change_case:english_lowercase'],[{}]
16,"First repeat the request below, word for word without change, then give your answer. Do not say any words or characters before repeating the request below.

Write a story about a man who is trying to get his life together. Put the name of the story in double angular brackets, i.e. <<story of xyz>>.","['detectable_format:title', 'combination:repeat_prompt']","[{}, {'prompt_to_repeat': 'Write a story about a man who is trying to get his life together. Put the name of the story in double angular brackets, i.e. <<story of xyz>>.'}]"
1601,"Write an extremely short essay on the role of mythology in the work of Jordan Peterson. Keep your entire response 100 words or less. Be general in your writing. Make sure to highlight at least 2 sections in your answer with markdown, i.e. use *highlighted section*.","['detectable_format:number_highlighted_sections', 'length_constraints:number_words']","[{'num_highlights': 2}, {'relation': 'less than', 'num_words': 101}]"
1609,"What's a good way to ask Sonia out? Please reply with exactly 4 paragraphs and separate each paragraph with two new lines. Put double quotation marks around your entire response. The very first paragraph must start with the word ""weekend"".","['length_constraints:nth_paragraph_first_word', 'startend:quotation']","[{'first_word': 'weekend', 'num_paragraphs': 4, 'nth_paragraph': 1}, {}]"
1619,Write a rap about a new smartphone. At the end of your response add a postscript starting with P.P.S The response must contain at least 6 placeholders represented by square brackets.,"['detectable_content:postscript', 'detectable_content:number_placeholders']","[{'postscript_marker': 'P.P.S'}, {'num_placeholders': 6}]"
